Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,1. Category
"Bandar Menjalara, Kuala Lumpur","828,000",5,4,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Kepong, Kuala Lumpur","680,000",3,2,2,1-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Bangsar, Kuala Lumpur","4,900,000",6,3,4,Bungalow (Intermediate),6609,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","1,150,000",3,2,2,1-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Mont Kiara, Kuala Lumpur","2,600,000",6,6,4,Semi-detached House (Intermediate),3800,Partly Furnished,Mid
"Sri Petaling, Kuala Lumpur","750,000",3,2,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished,Low
"Setapak, Kuala Lumpur","550,000",3,2,2,1-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Sri Petaling, Kuala Lumpur","1,200,000",5,4,2,2.5-sty Terrace/Link House,1760,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","5,800,000",6,7,4,Bungalow (Intermediate),7950,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","3,380,000",6,5,2,Semi-detached House (Corner),4860,Partly Furnished,Mid
"Cheras, Kuala Lumpur","1,000,000",5,5,2,2-sty Terrace/Link House,1760,Unfurnished,Low
"Bangsar, Kuala Lumpur","2,350,000",5,4,3,2-sty Terrace/Link House,1760,Partly Furnished,Mid
"Cheras, Kuala Lumpur","785,000",4,3,4,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Cheras, Kuala Lumpur","2,300,000",6,3,4,Bungalow (Intermediate),4500,Partly Furnished,Mid
"Taman Melawati, Kuala Lumpur","2,150,000",6,7,3,Semi-detached House,3200,Partly Furnished,Mid
"Country Heights Damansara, Kuala Lumpur","9,500,000",6,5,2,Bungalow (Intermediate),9907,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","13,800,000",6,7,3,Bungalow (Corner),7500,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","6,500,000",6,4,6,Bungalow (Corner),7880,Partly Furnished,High
"Taman Melawati, Kuala Lumpur","750,000",4,3,3,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Sri Petaling, Kuala Lumpur","799,000",5,3,4,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Cheras, Kuala Lumpur","1,500,000",6,6,4,Semi-detached House (Corner),5600,Unfurnished,Mid
"Kepong, Kuala Lumpur","678,000",3,2,4,1-sty Terrace/Link House (Intermediate),1760,Unfurnished,Low
"Kepong, Kuala Lumpur","820,000",4,3,2,1.5-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Bukit Jalil, Kuala Lumpur","638,000",4,2,2,Condominium,1212,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","4,500,000",6,7,3,Bungalow,2970,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","4,100,000",7,6,4,Semi-detached House (Corner),6329,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","8,300,000",6,6,4,Bungalow (Intermediate),6103,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","2,550,000",6,5,2,Semi-detached House (Intermediate),4200,Partly Furnished,Mid
"Segambut, Kuala Lumpur","915,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Sri Hartamas, Kuala Lumpur","3,900,000",6,6,2,3-sty Terrace/Link House (Intermediate),2800,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","3,600,000",5,4,2,Semi-detached House,2400,Partly Furnished,Mid
"Kepong, Kuala Lumpur","650,000",3,2,2,1-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","4,599,999",6,4,2,Bungalow,9321.55,Partly Furnished,High
"Kepong, Kuala Lumpur","830,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Setapak, Kuala Lumpur","850,000",4,4,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Setapak, Kuala Lumpur","1,000,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Unfurnished,Low
"Kepong, Kuala Lumpur","690,000",3,2,3,1-sty Terrace/Link House (Intermediate),1760,Unknown,Low
"Wangsa Maju, Kuala Lumpur","900,000",5,3,2,2-sty Terrace/Link House,1620,Partly Furnished,Low
"Kepong, Kuala Lumpur","1,630,000",5,6,5,3-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Cheras, Kuala Lumpur","850,000",3,2,2,Serviced Residence (Intermediate),1252,Partly Furnished,Low
"Cheras, Kuala Lumpur","510,000",4,2,1,Condominium (Intermediate),1142,Unfurnished,Low
"Cheras, Kuala Lumpur","295,000",3,2,1,Condominium (Intermediate),755,Partly Furnished,Low
"Kepong, Kuala Lumpur","985,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","13,800,000",6,7,4,Bungalow,7468,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","2,200,000",4,5,3,Condominium (Corner),2707,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","4,500,000",6,7,2,Bungalow,2530,Partly Furnished,High
"Seputeh, Kuala Lumpur","6,523,000",4,2,2,Residential Land (Intermediate),9884,Unknown,High
"Damansara Heights, Kuala Lumpur","13,800,000",6,7,2,Bungalow,7468,Partly Furnished,High
"Dutamas, Kuala Lumpur","2,850,000",6,6,3,Semi-detached House (Intermediate),3690,Fully Furnished,Mid
"Kepong, Kuala Lumpur","1,320,000",4,4,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Kepong, Kuala Lumpur","720,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","12,500,000",6,7,3,Bungalow,9300,Fully Furnished,High
"Mont Kiara, Kuala Lumpur","4,400,000",7,6,2,Semi-detached House (Intermediate),4600,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","3,600,000",5,5,2,3-sty Terrace/Link House (Intermediate),2400,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","2,480,000",4,4,2,2-sty Terrace/Link House,1650,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","15,000,000",6,6,6,Bungalow,12000,Partly Furnished,High
"KLCC, Kuala Lumpur","2,600,000",3,4,2,Condominium,2245,Unfurnished,Mid
"KLCC, Kuala Lumpur","3,500,000",4,4,2,Condominium,2906,Unfurnished,Mid
"KLCC, Kuala Lumpur","3,400,000",5,5,2,Condominium (Corner),3800,Partly Furnished,Mid
"City Centre, Kuala Lumpur","4,200,000",3,2,2,Condominium,3285,Fully Furnished,High
"Damansara Heights, Kuala Lumpur","7,500,000",6,5,4,Bungalow (Corner),8859,Partly Furnished,High
"Sri Petaling, Kuala Lumpur","800,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","2,400,000",7,6,2,3-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","3,200,000",6,6,2,2.5-sty Terrace/Link House,1782,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,300,000",4,3,2,2-sty Terrace/Link House (Intermediate),1826,Partly Furnished,Mid
"Taman Melawati, Kuala Lumpur","2,950,000",5,5,4,Semi-detached House (Intermediate),4675,Fully Furnished,Mid
"Mont Kiara, Kuala Lumpur","3,000,000",6,5,2,Semi-detached House,4000,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","3,600,000",5,4,2,Semi-detached House,2400,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","4,000,000",6,5,2,Semi-detached House (EndLot),4000,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","5,600,000",6,6,2,Bungalow,5994,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","2,250,000",4,5,2,2-sty Terrace/Link House (Intermediate),1826,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,250,000",5,5,4,3-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","3,650,000",5,6,4,3-sty Terrace/Link House (Intermediate),1870,Fully Furnished,Mid
"Damansara Heights, Kuala Lumpur","10,081,000",6,7,4,Bungalow (Corner),4600,Unfurnished,High
"Desa ParkCity, Kuala Lumpur","2,400,000",6,5,2,3-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","1,650,000",4,3,2,2-sty Terrace/Link House (Intermediate),1970,Unknown,Mid
"Damansara Heights, Kuala Lumpur","8,800,000",6,5,6,Bungalow,10000,Partly Furnished,High
"Sri Petaling, Kuala Lumpur","3,300,000",6,5,2,Semi-detached House (Corner),7500,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","6,000,000",6,6,4,Bungalow (Corner),6100,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","1,480,000",5,5,2,Condominium (Corner),2498,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","3,700,000",6,4,2,Bungalow,6931,Unfurnished,Mid
"Desa ParkCity, Kuala Lumpur","2,900,000",5,5,2,3-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"Kepong, Kuala Lumpur","599,000",4,2,2,1-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Low
"Kepong, Kuala Lumpur","1,250,000",4,4,2,3-sty Terrace/Link House (Intermediate),1870,Fully Furnished,Mid
"Bangsar, Kuala Lumpur","2,153,508",3,3,1,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"Segambut, Kuala Lumpur","590,000",3,2,2,Condominium,1019,Partly Furnished,Low
"Bangsar, Kuala Lumpur","2,080,000",3,3,1,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"Cheras, Kuala Lumpur","440,000",3,2,2,Townhouse (Intermediate),1470,Partly Furnished,Low
"Cheras, Kuala Lumpur","598,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Unfurnished,Low
"Cheras, Kuala Lumpur","508,000",3,2,1,Serviced Residence (Corner),1097,Partly Furnished,Low
"Bangsar, Kuala Lumpur","1,320,000",3,2,3,Condominium,1550,Fully Furnished,Mid
"Bangsar, Kuala Lumpur","1,589,000",4,3,2,2-sty Terrace/Link House (Intermediate),1870,Unfurnished,Mid
"Damansara Heights, Kuala Lumpur","15,000,000",6,6,4,Bungalow (Intermediate),7500,Unfurnished,High
"Bangsar, Kuala Lumpur","1,770,000",4,3,2,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","10,500,000",6,6,5,Bungalow,8365,Unfurnished,High
"Cheras, Kuala Lumpur","900,000",4,3,2,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Low
"Cheras, Kuala Lumpur","980,000",4,3,2,2-sty Terrace/Link House (Corner),4999,Unfurnished,Low
"Damansara Heights, Kuala Lumpur","8,000,000",6,6,2,Bungalow (Corner),6670,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","4,500,000",6,7,2,Bungalow,2970,Partly Furnished,High
"Kepong, Kuala Lumpur","1,550,000",5,4,4,3-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,080,000",5,4,4,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","799,000",4,3,2,2-sty Terrace/Link House (Intermediate),1870,Fully Furnished,Low
"Bukit Bintang, Kuala Lumpur","680,000",1,1,2,Serviced Residence (EndLot),624,Fully Furnished,Low
"Bukit Bintang, Kuala Lumpur","880,000",2,1,2,Serviced Residence (Corner),829,Fully Furnished,Low
"Cheras, Kuala Lumpur","799,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Cheras, Kuala Lumpur","850,000",4,3,2,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Low
"Bangsar, Kuala Lumpur","2,650,000",4,3,2,2-sty Terrace/Link House,1870,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","1,950,000",4,3,2,2-sty Terrace/Link House,1870,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,250,000",5,4,4,3-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,080,000",5,4,2,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Low
"Bangsar, Kuala Lumpur","1,850,000",4,3,2,2-sty Terrace/Link House,1870,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","2,200,000",4,4,2,2-sty Terrace/Link House,1870,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","4,800,000",6,4,2,Bungalow (Intermediate),7600,Partly Furnished,High
"Sungai Besi, Kuala Lumpur","1,250,000",4,3,4,2-sty Terrace/Link House (Intermediate),1870,Unfurnished,Mid
"Bukit Jalil, Kuala Lumpur","425,000",4,2,2,Condominium (EndLot),1080,Fully Furnished,Low
"Taman Desa, Kuala Lumpur","1,250,000",4,3,4,2-sty Terrace/Link House (Intermediate),1870,Unfurnished,Mid
"Bangsar, Kuala Lumpur","1,880,000",4,3,2,2-sty Terrace/Link House (Intermediate),1870,Unfurnished,Mid
"Kepong, Kuala Lumpur","880,000",4,3,2,2-sty Terrace/Link House (Intermediate),1870,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","2,750,000",4,4,2,2-sty Terrace/Link House (Intermediate),1958,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","3,800,000",5,4,2,Semi-detached House (Intermediate),2400,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","4,600,000",6,5,2,Semi-detached House,4000,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","4,400,000",6,5,2,Semi-detached House,4000,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","4,800,000",6,5,2,Semi-detached House,4000,Partly Furnished,High
"Bandar Damai Perdana, Kuala Lumpur","658,000",4,3,2,2-sty Terrace/Link House (Intermediate),1300,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,800,000",4,3,3,2-sty Terrace/Link House,2090,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,380,000",4,3,2,2-sty Terrace/Link House,1725,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","3,600,000",6,6,2,Bungalow,1920,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","7,900,000",6,6,5,Bungalow,10000,Fully Furnished,High
"Damansara Heights, Kuala Lumpur","4,380,000",5,6,2,Semi-detached House (Intermediate),3600,Partly Furnished,High
"Cheras, Kuala Lumpur","868,000",5,4,2,2-sty Terrace/Link House (Intermediate),1725,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,600,000",4,3,2,2-sty Terrace/Link House,1725,Partly Furnished,Mid
"Taman Desa, Kuala Lumpur","2,300,000",5,5,3,2-sty Terrace/Link House (Corner),3885,Partly Furnished,Mid
"Cheras, Kuala Lumpur","790,000",5,3,2,2-sty Terrace/Link House,1892,Partly Furnished,Low
"Cheras, Kuala Lumpur","450,000",3,2,2,2-sty Terrace/Link House (Intermediate),990,Partly Furnished,Low
"Taman Desa, Kuala Lumpur","2,000,000",4,4,3,2-sty Terrace/Link House (EndLot),4570,Partly Furnished,Mid
"Cheras, Kuala Lumpur","868,000",5,4,2,2-sty Terrace/Link House (Intermediate),1725,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","6,000,000",6,6,2,Semi-detached House (Intermediate),3300,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","1,650,000",4,3,2,2-sty Terrace/Link House,1725,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,600,000",5,4,2,2.5-sty Terrace/Link House (Intermediate),1840,Fully Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,800,000",5,4,2,2.5-sty Terrace/Link House (Intermediate),2496,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,720,000",5,3,2,2-sty Terrace/Link House (Intermediate),1900,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","1,300,000",3,2,2,Townhouse (Intermediate),1320,Partly Furnished,Mid
"KLCC, Kuala Lumpur","1,060,000",4,3,2,Serviced Residence (EndLot),1313,Fully Furnished,Low
"Setapak, Kuala Lumpur","800,000",4,4,2,2.5-sty Terrace/Link House,1440,Partly Furnished,Low
"Mont Kiara, Kuala Lumpur","6,450,000",6,6,2,Bungalow,6390,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","12,000,000",6,4,4,Bungalow,10800,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","11,000,000",6,8,5,Bungalow (Corner),7988,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","4,900,000",6,6,2,Bungalow,3000,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","11,900,000",6,6,2,Bungalow,9619,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","1,380,000",4,3,2,2-sty Terrace/Link House,1800,Fully Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,330,000",4,3,2,2-sty Terrace/Link House (Intermediate),1800,Partly Furnished,Mid
"OUG, Kuala Lumpur","2,380,000",6,4,3,Bungalow,4455,Partly Furnished,Mid
"Pantai, Kuala Lumpur","5,300,000",6,6,4,Bungalow,8300,Partly Furnished,High
"KL City, Kuala Lumpur","1,050,000",3,3,1,Serviced Residence (Intermediate),1281,Fully Furnished,Low
"Setiawangsa, Kuala Lumpur","1,650,000",4,3,2,2-sty Terrace/Link House,2000,Partly Furnished,Mid
"Jalan Kuching, Kuala Lumpur","400,000",3,2,1,Condominium (Corner),1100,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,680,000",4,3,4,2-sty Terrace/Link House,1800,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,280,000",4,3,2,2-sty Terrace/Link House (Intermediate),1800,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,500,000",4,3,3,2-sty Terrace/Link House (Intermediate),1800,Partly Furnished,Mid
"Cheras, Kuala Lumpur","1,300,000",4,2,2,3-sty Terrace/Link House (Intermediate),1800,Partly Furnished,Mid
"Cheras, Kuala Lumpur","1,450,000",6,5,4,3-sty Terrace/Link House (Intermediate),1800,Fully Furnished,Mid
"Bangsar, Kuala Lumpur","1,650,000",4,3,2,2-sty Terrace/Link House (Intermediate),1800,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,900,000",4,3,2,2-sty Terrace/Link House (EndLot),1800,Partly Furnished,Mid
"Salak Selatan, Kuala Lumpur","2,900,000",6,7,6,Bungalow (Corner),8878,Partly Furnished,Mid
"Ampang, Kuala Lumpur","820,000",4,3,4,2-sty Terrace/Link House (Corner),2400,Partly Furnished,Low
"Sentul, Kuala Lumpur","950,000",4,3,2,Condominium,1569,Fully Furnished,Low
"Seputeh, Kuala Lumpur","5,500,000",6,6,4,Bungalow (Intermediate),5446,Fully Furnished,High
"Dutamas, Kuala Lumpur","950,000",4,4,2,Condominium (Corner),1719,Partly Furnished,Low
"KLCC, Kuala Lumpur","1,085,000",2,2,1,Condominium (Corner),1551,Fully Furnished,Low
"KLCC, Kuala Lumpur","1,600,000",5,5,2,Condominium (Corner),2497,Fully Furnished,Mid
"KLCC, Kuala Lumpur","1,500,000",4,5,2,Condominium (Corner),2098,Fully Furnished,Mid
"KLCC, Kuala Lumpur","1,700,000",5,5,2,Condominium (Corner),2315,Fully Furnished,Mid
"Bukit Bintang, Kuala Lumpur","1,000,000",2,2,2,Serviced Residence (Corner),1070,Fully Furnished,Low
"KLCC, Kuala Lumpur","2,500,000",5,6,3,Serviced Residence (Corner),3283,Partly Furnished,Mid
"Bukit Tunku (Kenny Hills), Kuala Lumpur","2,200,000",4,5,3,Condominium (Corner),2939,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,850,000",7,4,2,3-sty Terrace/Link House,2040,Fully Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,800,000",4,3,2,2-sty Terrace/Link House (Intermediate),1800,Unfurnished,Mid
"Cheras, Kuala Lumpur","950,000",5,3,2,2-sty Terrace/Link House,2500,Partly Furnished,Low
"Seputeh, Kuala Lumpur","5,400,000",6,6,6,Bungalow (Intermediate),5931,Partly Furnished,High
"Seputeh, Kuala Lumpur","5,800,000",6,6,2,Bungalow (Corner),7000,Partly Furnished,High
"Bangsar, Kuala Lumpur","1,300,000",2,3,2,1-sty Terrace/Link House (Intermediate),1800,Partly Furnished,Mid
"Seputeh, Kuala Lumpur","5,650,000",6,6,2,Bungalow,5442,Partly Furnished,High
"Sungai Besi, Kuala Lumpur","1,340,000",5,6,4,3-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Seputeh, Kuala Lumpur","5,300,000",6,6,2,Bungalow (Corner),7000,Partly Furnished,High
"KL City, Kuala Lumpur","638,000",4,3,1,Townhouse (Corner),1500,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,090,000",3,2,2,1-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","1,550,000",4,3,2,2-sty Terrace/Link House (Intermediate),1920,Unfurnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,060,000",3,2,2,1-sty Terrace/Link House (Intermediate),1920,Unfurnished,Low
"Seputeh, Kuala Lumpur","5,300,000",6,6,2,Bungalow (Intermediate),4500,Partly Furnished,High
"Sungai Besi, Kuala Lumpur","2,153,508",5,6,4,3-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,960,000",7,7,2,2.5-sty Terrace/Link House (Intermediate),1955,Fully Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,790,000",5,4,2,2.5-sty Terrace/Link House (Intermediate),1840,Fully Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,620,000",5,4,2,2.5-sty Terrace/Link House (Intermediate),1840,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","3,050,000",7,6,2,Semi-detached House (Corner),4089,Unfurnished,Mid
"Sungai Besi, Kuala Lumpur","1,300,000",5,6,4,3-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,050,000",3,2,2,1-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,450,000",3,2,2,1-sty Terrace/Link House (Intermediate),1920,Fully Furnished,Mid
"Seputeh, Kuala Lumpur","2,600,000",6,4,4,Bungalow (Intermediate),6300,Partly Furnished,Mid
"Cheras, Kuala Lumpur","1,200,000",5,5,2,2-sty Terrace/Link House,1920,Unfurnished,Mid
"Sungai Besi, Kuala Lumpur","1,350,000",5,6,2,3-sty Terrace/Link House (Intermediate),1920,Unfurnished,Mid
"Sungai Besi, Kuala Lumpur","1,380,000",5,6,2,3-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Jalan Kuching, Kuala Lumpur","1,180,000",5,5,4,3-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Cheras, Kuala Lumpur","1,000,000",5,4,2,2-sty Terrace/Link House (Intermediate),1920,Unfurnished,Low
"Sungai Besi, Kuala Lumpur","1,350,000",5,6,4,3-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Cheras, Kuala Lumpur","668,000",5,3,6,3-sty Terrace/Link House (EndLot),1500,Unfurnished,Low
"Desa ParkCity, Kuala Lumpur","828,000",2,1,1,Condominium (Intermediate),969,Fully Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,090,000",3,2,2,1-sty Terrace/Link House (Intermediate),1920,Unfurnished,Low
"Damansara Heights, Kuala Lumpur","4,000,000",5,4,2,Semi-detached House,3700,Partly Furnished,High
"Kepong, Kuala Lumpur","580,000",3,2,3,1-sty Terrace/Link House (Intermediate),130,Fully Furnished,Low
"Kepong, Kuala Lumpur","580,000",4,2,2,Serviced Residence (Intermediate),1162,Partly Furnished,Low
"Seputeh, Kuala Lumpur","7,500,000",6,6,2,Bungalow (Corner),8812,Fully Furnished,High
"Damansara Heights, Kuala Lumpur","4,680,000",6,5,2,Semi-detached House,3200,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","1,060,000",3,2,2,1-sty Terrace/Link House (Intermediate),1920,Unfurnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,080,000",3,2,2,1-sty Terrace/Link House (Intermediate),1920,Unfurnished,Low
"Seputeh, Kuala Lumpur","5,800,000",6,6,4,Bungalow (Intermediate),4500,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","9,000,000",6,6,2,Bungalow,8100,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","6,680,000",6,6,6,Bungalow,6600,Unfurnished,High
"Bangsar South, Kuala Lumpur","49,000,000",4,2,2,Residential Land,32300,Unfurnished,High
"Country Heights Damansara, Kuala Lumpur","4,680,000",4,2,2,Residential Land,13300,Unknown,High
"Sri Hartamas, Kuala Lumpur","8,000,000",6,6,6,Bungalow,8200,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","12,000,000",6,7,2,Bungalow,7000,Partly Furnished,High
"Taman Desa, Kuala Lumpur","5,500,000",6,7,6,Bungalow (Intermediate),7100,Unfurnished,High
"Country Heights Damansara, Kuala Lumpur","10,540,000",4,2,2,Residential Land,23900,Unknown,High
"Taman Desa, Kuala Lumpur","4,088,000",6,6,5,Bungalow,6534,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","4,300,000",7,6,4,Semi-detached House,4500,Fully Furnished,High
"Mont Kiara, Kuala Lumpur","4,250,000",7,6,4,Semi-detached House (Intermediate),3100,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","2,800,000",6,5,4,Semi-detached House,4300,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,200,000",5,6,4,Semi-detached House,2850,Partly Furnished,Mid
"Taman Desa, Kuala Lumpur","5,788,000",6,5,6,Bungalow,7200,Partly Furnished,High
"Taman Melawati, Kuala Lumpur","2,950,000",6,6,6,Bungalow (Intermediate),5694,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","4,995,000",6,7,6,Bungalow,8113,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","4,995,000",6,7,6,Bungalow (Intermediate),8113,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","4,800,000",6,4,2,Bungalow (Intermediate),8300,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","4,700,000",6,2,2,Bungalow,6300,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","4,780,000",5,5,4,Semi-detached House (Corner),3500,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","4,250,000",5,5,2,Semi-detached House,2700,Fully Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","4,995,000",6,6,2,Bungalow,8000,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","4,280,000",6,5,4,Semi-detached House (EndLot),4000,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","4,280,000",6,5,4,Semi-detached House (EndLot),4040,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","4,280,000",6,5,4,Semi-detached House (EndLot),4040,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","4,450,000",6,5,5,Semi-detached House,4000,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","4,390,000",6,4,4,Semi-detached House,4000,Partly Furnished,High
